# src/jamBashbulk.cpp (unix) 
# commit 85670c21403a4f54092b9da783e3a906d5e2f869 (2016-08-01 17:09:16 +0200)
# RAND_MAX = 2147483647
# srand(0); rand() = 1804289383
gamma_alpha	s_xy	Ncontacts	Nchanges	N+	N-	P	Z
0.0000000000000000000e+00	-2.7855431297844749841e-20	33	0	0	0	1.0000000000000014425e-03	4.1250000000000000000e+00
1.0000000000000000623e-08	1.0863056335892816024e-09	33	0	0	0	9.9999981988840948451e-04	4.1250000000000000000e+00
1.0000000000000000623e-07	1.0863057899302177361e-08	33	0	0	0	9.9999819888031571713e-04	4.1250000000000000000e+00
1.0000000000000000623e-06	1.0863073530060444761e-07	33	0	0	0	9.9998198842642588312e-04	4.1250000000000000000e+00
1.0000000000000000623e-05	1.0863229841719111297e-06	33	0	0	0	9.9981984659246119472e-04	4.1250000000000000000e+00
1.0000000000000000623e-04	1.0864793396591797595e-05	33	0	0	0	9.9819469888539105610e-04	4.1250000000000000000e+00
1.0000000000000000623e-03	6.3126303908162433016e-05	32	1	0	1	1.0000282262632700968e-03	4.0000000000000000000e+00
3.1622776601683795291e-04	3.4369382794576195635e-05	33	0	0	0	9.9426251992356687500e-04	4.1250000000000000000e+00
5.6234132519034911543e-04	6.1142461987989828316e-05	33	0	0	0	9.8973924531033854236e-04	4.1250000000000000000e+00
7.4989420933245587404e-04	6.4148065169696617005e-05	32	1	0	1	9.9333243914320413002e-04	4.0000000000000000000e+00
6.4938163157621135555e-04	6.4551069002934083952e-05	32	1	0	1	9.9059705310963754910e-04	4.0000000000000000000e+00
6.0429639023813285666e-04	6.4730394868464314639e-05	32	1	0	1	9.8936181171351510671e-04	4.0000000000000000000e+00
5.8294153471360743270e-04	6.3384381782743324925e-05	33	0	0	0	9.8935833939137350639e-04	4.1250000000000000000e+00
5.9352292722969867459e-04	6.4536011797217354957e-05	33	0	0	0	9.8916254729366640697e-04	4.1250000000000000000e+00
5.9888543349164614660e-04	6.4751856445066963898e-05	32	1	0	1	9.8921321852619095080e-04	4.0000000000000000000e+00
5.9619815125609777528e-04	6.4762510238960792148e-05	32	1	0	1	9.8913939421010846192e-04	4.0000000000000000000e+00
5.9485903535413648733e-04	6.4681430429492218930e-05	33	0	0	0	9.8913781804458133325e-04	4.1250000000000000000e+00
5.9552821691009896223e-04	6.4754262693428851249e-05	33	0	0	0	9.8912543199059585129e-04	4.1250000000000000000e+00
5.9586308993143834936e-04	6.4763838373002410794e-05	32	1	0	1	9.8913018821712358899e-04	4.0000000000000000000e+00
5.9569562988946915919e-04	6.4764502141436767692e-05	32	1	0	1	9.8912558705495213585e-04	4.0000000000000000000e+00
5.9561191751778592175e-04	6.4763372496377163690e-05	33	0	0	0	9.8912388272810395450e-04	4.1250000000000000000e+00
5.9565377223302467288e-04	6.4764668052453228173e-05	32	1	0	1	9.8912443695543292475e-04	4.0000000000000000000e+00
5.9563284450776749762e-04	6.4764751003298315677e-05	32	1	0	1	9.8912386193432364060e-04	4.0000000000000000000e+00
5.9562238092086887434e-04	6.4764511311939966849e-05	33	0	0	0	9.8912368905457065934e-04	4.1250000000000000000e+00
5.9562761269134102529e-04	6.4764771740523816430e-05	32	1	0	1	9.8912371818203062120e-04	4.0000000000000000000e+00
5.9562499680036068490e-04	6.4764782109063731513e-05	32	1	0	1	9.8912364630633175554e-04	4.0000000000000000000e+00
5.9562368885917871655e-04	6.4764653665294670835e-05	33	0	0	0	9.8912366484513336477e-04	4.1250000000000000000e+00
5.9562434282941068456e-04	6.4764724842089463288e-05	33	0	0	0	9.8912365274039420785e-04	4.1250000000000000000e+00
5.9562466981479593063e-04	6.4764760430516241800e-05	33	0	0	0	9.8912364668801952883e-04	4.1250000000000000000e+00
6.8781701593577273281e-04	6.4397485495871761776e-05	32	1	0	0	9.9164605631290203176e-04	4.0000000000000000000e+00
7.9427869876549237036e-04	6.3968703476385904938e-05	32	1	0	0	9.9453222268506198788e-04	4.0000000000000000000e+00
9.1721873215697563330e-04	6.3467454215416748315e-05	32	1	0	0	9.9782951851276770807e-04	4.0000000000000000000e+00
1.0591876679145809449e-03	6.2880611212336382934e-05	32	1	0	0	1.0015896527262194294e-03	4.0000000000000000000e+00
1.2231308373129986039e-03	6.2192446696942416903e-05	32	1	0	0	1.0058683325651598313e-03	4.0000000000000000000e+00
1.4124494558471834057e-03	6.1384075666335358458e-05	32	1	0	0	1.0107245330077485840e-03	4.0000000000000000000e+00
1.6310711858967557867e-03	6.0432782623986272066e-05	32	1	0	0	1.0162191967333590758e-03	4.0000000000000000000e+00
1.8835316212196439549e-03	5.9311213260735346772e-05	32	1	0	0	1.0224131216424179313e-03	4.0000000000000000000e+00
2.1750683837773733649e-03	5.8377854886415511622e-05	33	2	1	0	1.0293718074552987156e-03	4.1250000000000000000e+00
2.0240578250533720310e-03	5.8676525785623914175e-05	32	1	0	0	1.0257904953997277967e-03	4.0000000000000000000e+00
2.0982049905123148940e-03	5.8338711232848422325e-05	32	1	0	0	1.0275522355385480478e-03	4.0000000000000000000e+00
2.1362910236077948216e-03	5.8226055087873290316e-05	33	2	1	0	1.0284528787811337369e-03	4.1250000000000000000e+00
2.1171623666881424630e-03	5.8252020402059095769e-05	32	1	0	0	1.0280004118941296361e-03	4.0000000000000000000e+00
2.1267051886606458615e-03	5.8208332493859109559e-05	32	1	0	0	1.0282256692099206272e-03	4.0000000000000000000e+00
2.1314927174156283164e-03	5.8207240047296076756e-05	33	2	1	0	1.0283389822074854165e-03	4.1250000000000000000e+00
2.1290976073727095650e-03	5.8197845793600209882e-05	33	2	1	0	1.0282821143638714335e-03	4.1250000000000000000e+00
2.1279010617894122391e-03	5.8202855357432396356e-05	32	1	0	0	1.0282538812809722947e-03	4.0000000000000000000e+00
2.1284992505006164118e-03	5.8200115440584507873e-05	32	1	0	0	1.0282679918952917585e-03	4.0000000000000000000e+00
2.1287984079135976240e-03	5.8198745144864665476e-05	32	1	0	0	1.0282750483472988798e-03	4.0000000000000000000e+00
2.1289480023870179277e-03	5.8198059912663585174e-05	32	1	0	0	1.0282785768595329485e-03	4.0000000000000000000e+00
2.1290228035657836608e-03	5.8197717275475630514e-05	32	1	0	0	1.0282803411872099415e-03	4.0000000000000000000e+00
2.1290602051407208203e-03	5.8197699078511274457e-05	33	2	1	0	1.0282812262290427274e-03	4.1250000000000000000e+00
2.1290415042711215137e-03	5.8197631613981896627e-05	32	1	0	0	1.0282807822765834676e-03	4.0000000000000000000e+00
2.1290508546853883950e-03	5.8197662400076100942e-05	33	2	1	0	1.0282810041973794348e-03	4.1250000000000000000e+00
2.1290461794731217727e-03	5.8197644060909081129e-05	33	2	1	0	1.0282808931818543943e-03	4.1250000000000000000e+00
2.1290438418708383493e-03	5.8197634891338189468e-05	33	2	1	0	1.0282808376741685083e-03	4.1250000000000000000e+00
2.1290426730706591081e-03	5.8197630306555931603e-05	33	2	1	0	1.0282808099203446917e-03	4.1250000000000000000e+00
2.4585801234970851365e-03	5.9474142377096410994e-05	33	2	0	0	1.0360079296651790614e-03	4.1250000000000000000e+00
2.8391240345300173461e-03	6.0908953261909335772e-05	33	2	0	0	1.0446869762912758238e-03	4.1250000000000000000e+00
3.2785692873741154322e-03	6.2515392011835533761e-05	33	2	0	0	1.0543830286493812941e-03	4.1250000000000000000e+00
3.7860327486157838184e-03	6.4306177982247406479e-05	33	2	0	0	1.0651433742226884507e-03	4.1250000000000000000e+00
4.3720424115458196120e-03	6.6293012337937653567e-05	33	2	0	0	1.0769852564942868404e-03	4.1250000000000000000e+00
5.0487558131513667964e-03	6.8486318744153717322e-05	33	2	0	0	1.0898784675910089207e-03	4.1250000000000000000e+00
5.8302122581233749983e-03	7.0895401492986694710e-05	33	2	0	0	1.1037208698872373529e-03	4.1250000000000000000e+00
6.7326240825965190486e-03	7.3529507785706595042e-05	33	2	0	0	1.1183042573248092029e-03	4.1250000000000000000e+00
7.7747130002688513685e-03	7.6400642992782675724e-05	33	2	0	0	1.1332670742269563681e-03	4.1250000000000000000e+00
8.9780985088413967503e-03	7.9529577715501222968e-05	33	2	0	0	1.1480293381227450871e-03	4.1250000000000000000e+00
1.0367746414777333784e-02	8.2957431887215534795e-05	33	2	0	0	1.1617036034242370187e-03	4.1250000000000000000e+00
1.1972486781613584744e-02	8.6766715454673364411e-05	33	2	0	0	1.1729739083503971044e-03	4.1250000000000000000e+00
1.3825612047340039919e-02	9.0917351506795880905e-05	32	3	0	1	1.1801063543241762942e-03	4.0000000000000000000e+00
1.2865728019995454527e-02	8.8860061992514977855e-05	33	2	0	0	1.1771400204609267611e-03	4.1250000000000000000e+00
1.3337037313850834170e-02	8.9966114289194925671e-05	33	2	0	0	1.1787293638429978804e-03	4.1250000000000000000e+00
1.3579127503716862071e-02	9.0455615159915180763e-05	32	3	0	1	1.1794511987869757405e-03	4.0000000000000000000e+00
1.3457538044033534193e-02	9.0229548225291734774e-05	32	3	0	1	1.1790853007288555770e-03	4.0000000000000000000e+00
1.3397152199099718213e-02	9.0107486906849607717e-05	33	2	0	0	1.1789018074370585364e-03	4.1250000000000000000e+00
1.3427311175402616069e-02	9.0173515055904795135e-05	32	3	0	1	1.1789899599581586855e-03	4.0000000000000000000e+00
1.3412223210248977214e-02	9.0142943065401928369e-05	33	2	0	0	1.1789439654204143330e-03	4.1250000000000000000e+00
1.3419765072383735393e-02	9.0159536580303683351e-05	32	3	0	1	1.1789658862349663271e-03	4.0000000000000000000e+00
1.3415993611354832542e-02	9.0151814212324461672e-05	33	2	0	0	1.1789544449740373737e-03	4.1250000000000000000e+00
1.3417879209360282354e-02	9.0156043818679969446e-05	32	3	0	1	1.1789598529442678559e-03	4.0000000000000000000e+00
1.3416936377232634833e-02	9.0154032443960483391e-05	33	2	0	0	1.1789570611100172561e-03	4.1250000000000000000e+00
1.3417407785014936979e-02	9.0155141626541833143e-05	33	2	0	0	1.1789583686149059380e-03	4.1250000000000000000e+00
1.3417643495117192892e-02	9.0155607275669980807e-05	32	3	0	1	1.1789590983653265129e-03	4.0000000000000000000e+00
1.3417525639548465287e-02	9.0155389008513588828e-05	32	3	0	1	1.1789587210410618433e-03	4.0000000000000000000e+00
1.3417466712152301789e-02	9.0155279876022511716e-05	32	3	0	1	1.1789585323702313189e-03	4.0000000000000000000e+00
1.3417437248551269620e-02	9.0155210951931173406e-05	33	2	0	0	1.1789584503214955194e-03	4.1250000000000000000e+00
1.3417451980343698255e-02	9.0155245614691023156e-05	33	2	0	0	1.1789584911742403292e-03	4.1250000000000000000e+00
1.3417459346245978159e-02	9.0155262946087275190e-05	33	2	0	0	1.1789585116004752329e-03	4.1250000000000000000e+00
