# src/jamBashbulk.cpp (unix) 
# commit 85670c21403a4f54092b9da783e3a906d5e2f869 (2016-08-01 17:09:16 +0200)
# RAND_MAX = 2147483647
# srand(0); rand() = 1804289383
step#	N	P0	P	alpha	delta	L	phi	Z	#rattler	s_xx	s_yy	s_xy	U	dU	H	dH	t_run	#FIRE	#CG	gg creation-date ccnum
0	16	1.0000000000000010545e-03	1.0000000000000014425e-03	6.5998892443800934884e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.1250000000000000000e+00	0	-1.0000000000000015026e-03	-1.0000000000000013824e-03	-2.7855431297844749841e-20	1.0928358570711184924e-04	2.8395456067720334023e-19	9.1394637614820819127e-02	0.0000000000000000000e+00	1.2900000000000000000e+02	0	0	2.3873623618362455057e-18	2016-08-01_17-16-08 0
1	16	1.0000000000000010545e-03	9.9999981988840948451e-04	6.5998992443800934883e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.1250000000000000000e+00	0	-1.0000002127863815080e-03	-9.9999942699043746106e-04	1.0863056335892816024e-09	1.0928358570760688816e-04	4.9503891660678862483e-16	9.1394637614821314167e-02	4.9503993569330329017e-16	1.0000000000000000000e+00	1000	0	6.3929811694018318091e-19	2016-08-01_17-16-09 0
2	16	1.0000000000000010545e-03	9.9999819888031571713e-04	6.5999892443800934883e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.1250000000000000000e+00	0	-1.0000021278593933939e-03	-9.9999426990123804044e-04	1.0863057899302177361e-08	1.0928358575661603133e-04	5.7571770633690726171e-22	9.1394637614870323310e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	7.4496547711015714821e-19	2016-08-01_17-16-09 0
3	16	1.0000000000000010545e-03	9.9998198842642588312e-04	6.6008892443800934886e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.1250000000000000000e+00	0	-1.0000212781529571114e-03	-9.9994269869989465530e-04	1.0863073530060444761e-07	1.0928359065753492096e-04	3.2888701155108380353e-21	9.1394637619771242194e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	1.0564618434629260979e-18	2016-08-01_17-16-09 0
4	16	1.0000000000000010545e-03	9.9981984659246119472e-04	6.6098892443800934892e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.1250000000000000000e+00	0	-1.0002127374330703037e-03	-9.9942695575185208592e-04	1.0863229841719111297e-06	1.0928408075416782932e-04	-2.5675686213645979028e-21	9.1394638109867875108e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	5.1944295490369968293e-19	2016-08-01_17-16-09 0
5	16	1.0000000000000010545e-03	9.9819469888539105610e-04	6.6998892443800934945e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.1250000000000000000e+00	0	-1.0021229646603922281e-03	-9.9426643311038988435e-04	1.0864793396591797595e-05	1.0933309516253827038e-04	6.8821426964411902549e-22	9.1394687124276245546e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	5.3079849035282764685e-19	2016-08-01_17-16-09 0
6	16	1.0000000000000010545e-03	1.0000282262632700968e-03	7.5998892443800935507e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.0000000000000000000e+00	0	-1.0230511582371730447e-03	-9.7700529428936714892e-04	6.3126303908162433016e-05	1.1339792961869853317e-04	-1.1977575269767840732e-21	9.1398751958732405810e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	1.3818019045473825188e-18	2016-08-01_17-16-09 0
7	16	1.0000000000000010545e-03	9.9426251992356687500e-04	6.9161170103969314414e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.1250000000000000000e+00	0	-1.0066799008730391092e-03	-9.8184513897409464076e-04	3.4369382794576195635e-05	1.0977879445163868902e-04	-1.7271531190107217851e-21	9.1395132823565345966e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	7.3617751028239378219e-19	2016-08-01_17-16-09 0
8	16	1.0000000000000010545e-03	9.8973924531033854236e-04	7.1622305695704426037e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.1250000000000000000e+00	0	-1.0118109167031521705e-03	-9.6766757391752491408e-04	6.1142461987989828316e-05	1.1084998467056736854e-04	-2.9778502051908996295e-22	9.1396204013784274646e-02	0.0000000000000000000e+00	0.0000000000000000000e+00	2000	0	6.0684616714850279917e-19	2016-08-01_17-16-09 0
9	16	1.0000000000000010545e-03	9.9333243914320413002e-04	7.3497834537125493624e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.0000000000000000000e+00	0	-1.0165866110452417353e-03	-9.7007826724116652510e-04	6.4148065169696617005e-05	1.1194725580142586596e-04	8.2056316765260345347e-22	9.1397301284915133146e-02	6.7762635780344027125e-21	0.0000000000000000000e+00	2000	0	6.1198130439123199498e-19	2016-08-01_17-16-09 0
10	16	1.0000000000000010545e-03	9.9059705310963754910e-04	7.2492708759563048440e-03	1.5699367882486530212e-03	9.5543369225244307906e+00	8.1494906634508249319e-01	4.0000000000000000000e+00	0	-1.0139327528480008950e-03	-9.6726135337127420306e-04	6.4551069002934083952e-05	1.1135774963450637163e-04	-3.3219573400129591423e-21	9.1396711778748213647e-02	-6.7762635780344027125e-21	0.0000000000000000000e+00	2000	0	7.7990558618439703720e-19	2016-08-01_17-16-09 0
